grid_id,bonus_nats,penalty_nats,max_target_mass,max_kl_budget,base_mean_target_mass,task_only_mean_target_mass,controlled_protected_mean_target_mass,wrong_key_controlled_mean_target_mass,wrong_payload_controlled_mean_target_mass,controlled_protected_lift_vs_base,controlled_protected_lift_vs_task_only,wrong_key_lift_vs_base,wrong_payload_lift_vs_base,controlled_protected_rank1_rate,controlled_protected_median_margin,wrong_key_rank1_rate,wrong_payload_rank1_rate,protected_basic_gate_pass,wrong_key_basic_gate_pass,wrong_payload_basic_gate_pass,null_selectivity_pass,overall_selective_gate_pass
grid_43,1.0,0.25,0.25,0.1,0.00483183704383805,0.0016724278486419664,0.31480053000268526,0.2725787158210551,0.23080387261143187,0.3099686929588472,0.3131281021540433,0.26774687877721703,0.22597203556759382,1.0,0.24989070952506154,0.9945068359375,0.990234375,True,True,True,False,False
grid_44,1.0,0.25,0.35,0.05,0.00483183704383805,0.0016724278486419664,0.3445563017157838,0.28746376539811536,0.23080387261143187,0.3397244646719457,0.3428838738671418,0.2826319283542773,0.22597203556759382,1.0,0.347358955652453,0.9945068359375,0.990234375,True,True,True,False,False
grid_45,1.0,0.25,0.35,0.1,0.00483183704383805,0.0016724278486419664,0.35630578215932474,0.2933462495943786,0.23080387261143187,0.3514739451154867,0.35463335431068277,0.28851441255054056,0.22597203556759382,1.0,0.3495036864769645,0.9945068359375,0.990234375,True,True,True,False,False
grid_46,1.0,0.25,0.45,0.05,0.00483183704383805,0.0016724278486419664,0.37103137566009536,0.3005544066722905,0.23080387261143187,0.3661995386162573,0.3693589478114534,0.29572256962845245,0.22597203556759382,1.0,0.3885716948425397,0.9945068359375,0.990234375,True,True,True,False,False
grid_47,1.0,0.25,0.45,0.1,0.00483183704383805,0.0016724278486419664,0.39629003615118563,0.31316817258402807,0.23080387261143187,0.3914581991073476,0.39461760830254367,0.30833633554019,0.22597203556759382,1.0,0.44049951853230596,0.9945068359375,0.990234375,True,True,True,False,False
grid_48,1.25,0.0,0.25,0.05,0.00483183704383805,0.0016724278486419664,0.31226840781164356,0.2921360633158656,0.2720441434867098,0.3074365707678055,0.3105959799630016,0.28730422627202756,0.26721230644287175,1.0,0.24987962141312892,0.9945068359375,0.990234375,True,True,True,False,False
grid_49,1.25,0.0,0.25,0.1,0.00483183704383805,0.0016724278486419664,0.31909796565014403,0.2955308693203733,0.2720441434867098,0.314266128606306,0.31742553780150207,0.29069903227653526,0.26721230644287175,1.0,0.24987962141312892,0.9945068359375,0.990234375,True,True,True,False,False
grid_50,1.25,0.0,0.35,0.05,0.00483183704383805,0.0016724278486419664,0.3447135326860007,0.30834209637441745,0.2720441434867098,0.33988169564216264,0.3430411048373587,0.3035102593305794,0.26721230644287175,1.0,0.347127520115464,0.9945068359375,0.990234375,True,True,True,False,False
grid_51,1.25,0.0,0.35,0.1,0.00483183704383805,0.0016724278486419664,0.36198032401443925,0.31699420646373255,0.2720441434867098,0.3571484869706012,0.3603078961657973,0.3121623694198945,0.26721230644287175,1.0,0.34941172154503874,0.9945068359375,0.990234375,True,True,True,False,False
grid_52,1.25,0.0,0.45,0.05,0.00483183704383805,0.0016724278486419664,0.3711937917105388,0.3214353534244765,0.2720441434867098,0.36636195466670074,0.3695213638618968,0.31660351638063844,0.26721230644287175,1.0,0.38834858140035067,0.9945068359375,0.990234375,True,True,True,False,False
grid_53,1.25,0.0,0.45,0.1,0.00483183704383805,0.0016724278486419664,0.4019708279374754,0.3368190610531201,0.2720441434867098,0.39713899089363736,0.40029840008883344,0.33198722400928204,0.26721230644287175,1.0,0.4390673958696425,0.9945068359375,0.990234375,True,True,True,False,False
grid_54,1.25,0.25,0.25,0.05,0.00483183704383805,0.0016724278486419664,0.31224212814413477,0.2710128428002463,0.2302289378749265,0.3074102911002967,0.3105697002954928,0.26618100575640824,0.22539710083108844,1.0,0.24988413152095745,0.984619140625,0.970703125,True,True,True,False,False
grid_55,1.25,0.25,0.25,0.1,0.00483183704383805,0.0016724278486419664,0.31909761285351124,0.27442108642162566,0.2302289378749265,0.3142657758096732,0.31742518500486927,0.2695892493777876,0.22539710083108844,1.0,0.2498891978248139,0.984619140625,0.970703125,True,True,True,False,False
grid_56,1.25,0.25,0.35,0.05,0.00483183704383805,0.0016724278486419664,0.3446822919504484,0.28721634616840674,0.2302289378749265,0.33985045490661037,0.34300986410180645,0.2823845091245687,0.22539710083108844,1.0,0.34731486008968204,0.984619140625,0.970703125,True,True,True,False,False
grid_57,1.25,0.25,0.35,0.1,0.00483183704383805,0.0016724278486419664,0.36197065612941515,0.2958798307931829,0.2302289378749265,0.3571388190855771,0.3602982282807732,0.29104799374934487,0.22539710083108844,1.0,0.3494855966127943,0.984619140625,0.970703125,True,True,True,False,False
grid_58,1.25,0.25,0.45,0.05,0.00483183704383805,0.0016724278486419664,0.3711591599712847,0.3003078912802266,0.2302289378749265,0.36632732292744663,0.3694867321226427,0.29547605423638856,0.22539710083108844,1.0,0.38853518666292075,0.984619140625,0.970703125,True,True,True,False,False
grid_59,1.25,0.25,0.45,0.1,0.00483183704383805,0.0016724278486419664,0.40195704220968764,0.31570275358672006,0.2302289378749265,0.3971252051658496,0.4002846143610457,0.310870916542882,0.22539710083108844,1.0,0.4402426234446466,0.984619140625,0.970703125,True,True,True,False,False
grid_60,1.5,0.0,0.25,0.05,0.00483183704383805,0.0016724278486419664,0.31226840731687844,0.29172956798902305,0.2712510804485646,0.3074365702730404,0.31059597946823647,0.286897730945185,0.26641924340472656,1.0,0.24987962141312892,0.984619140625,0.970703125,True,True,True,False,False
grid_61,1.5,0.0,0.25,0.1,0.00483183704383805,0.0016724278486419664,0.31946184602566063,0.2952789875735107,0.2712397255600081,0.3146300089818226,0.31778941817701867,0.2904471505296726,0.26640788851617003,1.0,0.24987962141312892,0.984619140625,0.970703125,True,True,True,False,False
grid_62,1.5,0.0,0.35,0.05,0.00483183704383805,0.0016724278486419664,0.34471353073604405,0.3079356004145666,0.2712510804485646,0.339881693692206,0.3430411028874021,0.30310376337072853,0.26641924340472656,1.0,0.347127520115464,0.984619140625,0.970703125,True,True,True,False,False
grid_63,1.5,0.0,0.35,0.1,0.00483183704383805,0.0016724278486419664,0.36234420438995585,0.3167423247168699,0.2712397255600081,0.3575123673461178,0.3606717765413139,0.31191048767303187,0.26640788851617003,1.0,0.34941172154503874,0.984619140625,0.970703125,True,True,True,False,False
grid_64,1.5,0.0,0.45,0.05,0.00483183704383805,0.0016724278486419664,0.3711937898187898,0.32102885780295765,0.2712510804485646,0.36636195277495176,0.36952136197014784,0.3161970207591196,0.26641924340472656,1.0,0.38834858140035067,0.984619140625,0.970703125,True,True,True,False,False
grid_65,1.5,0.0,0.45,0.1,0.00483183704383805,0.0016724278486419664,0.40233470842940733,0.3365671793717411,0.2712397255600081,0.3975028713855693,0.40066228058076536,0.331735342327903,0.26640788851617003,1.0,0.4390673958696425,0.984619140625,0.970703125,True,True,True,False,False
grid_66,1.5,0.25,0.25,0.05,0.00483183704383805,0.0016724278486419664,0.31224976645899005,0.27070530517403313,0.2296111903997371,0.307417929415152,0.3105773386103481,0.2658734681301951,0.22477935335589905,1.0,0.2498834190046182,0.969970703125,0.943359375,True,True,True,False,False
grid_67,1.5,0.25,0.25,0.1,0.00483183704383805,0.0016724278486419664,0.3194461386592593,0.27419944963548915,0.22950082123134052,0.31461430161542125,0.31777371081061734,0.2693676125916511,0.22466898418750247,1.0,0.2498881467472529,0.9688720703125,0.94140625,True,True,True,False,False
grid_68,1.5,0.25,0.35,0.05,0.00483183704383805,0.0016724278486419664,0.3446913859806955,0.2869095504879624,0.2296111903997371,0.33985954893685744,0.3430189581320535,0.28207771344412436,0.22477935335589905,1.0,0.3472851742990315,0.969970703125,0.943359375,True,True,True,False,False
grid_69,1.5,0.25,0.35,0.1,0.00483183704383805,0.0016724278486419664,0.3623218725260813,0.29565952032317,0.22950082123134052,0.35749003548224323,0.3606494446774393,0.29082768327933195,0.22466898418750247,1.0,0.3494731397659052,0.9688720703125,0.94140625,True,True,True,False,False
grid_70,1.5,0.25,0.45,0.05,0.00483183704383805,0.0016724278486419664,0.3711692603537813,0.3000016048913494,0.2296111903997371,0.36633742330994323,0.3694968325051393,0.29516976784751137,0.22477935335589905,1.0,0.3885087295420817,0.969970703125,0.943359375,True,True,True,False,False
grid_71,1.5,0.25,0.45,0.1,0.00483183704383805,0.0016724278486419664,0.4023094583826605,0.3154830061012035,0.22950082123134052,0.3974776213388225,0.40063703053401856,0.31065116905736545,0.22466898418750247,1.0,0.44005571119487286,0.9688720703125,0.94140625,True,True,True,False,False
